ACCOUNT_NUMBER	CUSTOMER_TYPE	ACCOUNT_TYPE	PRODUCT_NAME	OPEN_DATE	ACCT_AGE_YEARS	CURRENT_BALANCE	CUSTOMER_ID	STATE	COUNTRY	BIRTH_DATE	AGE	AGE_CATEGORY	GENDER	CITIZENSHIP	RESIDENCY_COUNTRY	OCCUPATION	INCOME	NAICS	AVG_TRXNS_WEEK	AVG_TRXN_AMT	TRXN_AMT_MONTHLY	REGISTRATION_COUNTRY	REGISTRATION_DATE	ACCT_OPEN_CHANNEL	NNM	OFAC	314b	ALERT	FP	FN
0010f33a-1360-4147-bb50-90ca0ef07442	INDIVIDUAL	Savings	Unknown		48.4	0.0	0010f33a-1360-4147-bb50-90ca0ef07442		267.0		94.7	60+	Unknown		267.0		0.0		1.13	26696.42	129063.2	254.0			No	No	No	Yes	Yes	No
00145c12-f248-481f-9327-0ce15899d6e5	INDIVIDUAL	Loan	Money Market Savings		28.37	7319104.0	00145c12-f248-481f-9327-0ce15899d6e5		267.0		46.6	46-60	B		267.0	Officer manager	0.0		0.77	174723.93	863254.4303030303	254.0			No	No	No	Yes	No	Yes
0031f953-8985-4406-98c1-461e98ea0d78	INDIVIDUAL	Certificate of Deposit	Checking Account		20.11	117118.0	0031f953-8985-4406-98c1-461e98ea0d78		267.0		64.8	60+	Unknown		267.0	Property Anaylist	0.0		0.6	94030.82	484706.5	254.0			No	No	No	Yes	Yes	No
0034f5ab-dbd5-4c60-a786-2822eae2bb5c	INDIVIDUAL	Other	Trust Savings Account		40.79	5011320.0	0034f5ab-dbd5-4c60-a786-2822eae2bb5c		267.0		61.0	60+	Unknown		267.0	Electrical Engineer	0.0		1.49	196111.6	1283496.4666666666	254.0			No	No	No	Yes	Yes	No
003fdd1f-fa9e-48c4-aa66-f824ec5a0762	INDIVIDUAL	Loan	Money Market Savings		44.47	2489336.0	003fdd1f-fa9e-48c4-aa66-f824ec5a0762		267.0		45.8	46-60	Unknown		267.0	Senior Corp Comunications Mgr			0.88	110865.97	443463.8823529412	267.0			No	No	No	Yes	No	Yes
004b273e-f04c-469f-9668-fe11e366a55a	BUSINESS	Checking	DD D-CB		4.27	0.0	004b273e-f04c-469f-9668-fe11e366a55a		267.0				Unknown		267.0			522293.0	1.0	106183.0	106183.0	267.0			No	No	No	Yes	Yes	No
005b52b2-8fe6-4df1-9dcb-a97e8f6f0a45	INDIVIDUAL	Other	Home Equity		37.52	6433323.0	005b52b2-8fe6-4df1-9dcb-a97e8f6f0a45		267.0		62.7	60+	A		267.0	ADJUNCT PROFESSOR	0.0		0.71	165212.84	1140706.3333333333	254.0			No	No	No	Yes	No	Yes
005e1a52-8f93-4915-83aa-1030a0de3330	INDIVIDUAL	Other	IRA Rollover Savings		25.43	8789384.0	005e1a52-8f93-4915-83aa-1030a0de3330		267.0		49.1	46-60	B		267.0	Reg Vet Tech	0.0		6.4	293181.62	1168383.258974359	254.0			No	No	No	Yes	No	Yes
0064d075-391b-4513-b863-d6848c88bfc6	INDIVIDUAL	Certificate of Deposit	POD Savings Account		43.75	10842939.0	0064d075-391b-4513-b863-d6848c88bfc6		267.0		29.5	18-30	Unknown		267.0				2.0300000000000002	285271.74	1380324.4606060607	254.0			No	No	No	Yes	No	Yes
006502e8-94bf-46b3-b6a4-6a104b05b75d	BUSINESS	Checking	BUSINESS NOW		7.29	21902125.0	006502e8-94bf-46b3-b6a4-6a104b05b75d		267.0				Unknown		267.0			721211.0	0.21	22946.11	177422.625	267.0			No	No	No	Yes	Yes	No
